user_id,date
001d9ae7-452d-4fda-9452-d743ea6ebdb6,5/3/16
0047f4b6-957f-405c-ab3e-2ed7d089ea70,5/4/16
037ba5f5-5e96-46aa-9055-5680d7f39617,5/9/16
07ed5cce-6f1a-449f-b8ee-15ca1252c77f,5/20/16
0afabfb1-267c-4951-be8e-0552e6dbee3d,5/25/16
0afabfb1-267c-4951-be8e-0552e6dbee3d,5/5/16
0afabfb1-267c-4951-be8e-0552e6dbee3d,5/4/16
109cfabc-8db3-4b09-80cf-5a408d6a2f7e,5/15/16
12b3bba3-c40f-40ef-bad0-65ae9d27db76,5/7/16
12b3bba3-c40f-40ef-bad0-65ae9d27db76,5/24/16
17cd8117-8d02-42e2-8131-95f2162f2976,5/6/16
1e55dd35-71ef-4720-af27-a1363ca8e25e,5/4/16
21fbe8de-78a7-48c3-9630-87d95e27c2d2,5/5/16
23d5e814-1a0a-4a07-b9a4-7f55bd9076be,5/19/16
23d5e814-1a0a-4a07-b9a4-7f55bd9076be,5/31/16
2674a5e1-ea3b-47a9-b29b-83cd6de75d55,5/4/16
2674a5e1-ea3b-47a9-b29b-83cd6de75d55,5/12/16
291714cb-b1c0-4d9e-bc8f-7fe93fe2224d,5/5/16
291714cb-b1c0-4d9e-bc8f-7fe93fe2224d,5/4/16
2959a74d-597b-401c-a641-c155a0ee0c73,5/4/16
2959a74d-597b-401c-a641-c155a0ee0c73,5/5/16
2b67a6dc-2460-4c51-a1c1-703997311582,6/3/16
325340c1-b717-419f-a872-afee7f6cd6d1,5/3/16
3598799e-c00d-4579-9671-940c662e9e13,5/20/16
36307d98-c093-4f37-90ae-6ececb79f985,5/7/16
38915f40-0355-4d82-9e87-b38eb83feba9,5/5/16
408fc8c9-19c0-4622-90f3-d9f05441d547,5/4/16
4240c331-3205-47e1-871d-42aba15df59d,5/4/16
42fdfec2-b730-417b-96e3-9dcde1b5792b,5/7/16
460be1aa-179d-45b1-baf8-e8de998c61d2,5/4/16
4c8726a4-0d59-4c60-bc7c-1417b63a59ec,5/3/16
4c9fa2a2-94ba-425a-8293-c5bf1c87e064,5/12/16
4df963f8-b1c5-483f-9eef-19bbcd6a2b5e,6/1/16
53e7bc32-827c-49be-ba50-730b3ad12cce,5/22/16
53e7bc32-827c-49be-ba50-730b3ad12cce,5/4/16
53e7bc32-827c-49be-ba50-730b3ad12cce,5/7/16
53e7bc32-827c-49be-ba50-730b3ad12cce,5/25/16
53e7bc32-827c-49be-ba50-730b3ad12cce,5/26/16
53e7bc32-827c-49be-ba50-730b3ad12cce,6/1/16
53e7bc32-827c-49be-ba50-730b3ad12cce,5/15/16
53e7bc32-827c-49be-ba50-730b3ad12cce,5/12/16
53e7bc32-827c-49be-ba50-730b3ad12cce,5/3/16
53e7bc32-827c-49be-ba50-730b3ad12cce,5/9/16
53e7bc32-827c-49be-ba50-730b3ad12cce,5/28/16
53e7bc32-827c-49be-ba50-730b3ad12cce,5/31/16
53e7bc32-827c-49be-ba50-730b3ad12cce,6/7/16
53e7bc32-827c-49be-ba50-730b3ad12cce,5/19/16
56ee8656-4e8c-46a2-8135-98e46919ed86,5/4/16
56ee8656-4e8c-46a2-8135-98e46919ed86,5/11/16
5730c10d-a17a-4e59-bdfe-083b948e417c,5/6/16
5730c10d-a17a-4e59-bdfe-083b948e417c,5/26/16
62032cd8-63e6-4e74-8a19-068e0e1ff8fe,6/8/16
65bb1405-05f0-4011-9563-2f0e3d193696,5/3/16
6f2c3ce7-39f7-47f2-8a0f-a37321f85478,6/9/16
78c7fae3-6310-4f6e-bcff-931e64418b72,5/5/16
7a8d2453-9f07-42da-bf9d-5ecb5fc403cd,5/5/16
7a8d2453-9f07-42da-bf9d-5ecb5fc403cd,5/19/16
7a8d2453-9f07-42da-bf9d-5ecb5fc403cd,5/4/16
7ba5ff33-cd62-4634-b6d9-13fa2b8a4cde,5/4/16
7c721814-73de-42a8-ad81-bbd1610e6636,5/4/16
7eaf21ad-a664-4e2b-953b-bc74dc674042,5/3/16
80a38bc3-966c-4392-993d-2f62317506a6,5/4/16
80a38bc3-966c-4392-993d-2f62317506a6,5/5/16
80a38bc3-966c-4392-993d-2f62317506a6,5/6/16
86c86cb8-4f39-4d18-8640-3b9bc7f3d13c,5/5/16
86ef57ff-65ad-4cbe-b6fd-1624090bc098,5/3/16
88c42f77-0f3a-40b6-9680-ef4aac03b395,5/8/16
8e28ccec-a302-43a6-a744-6b556346e0c1,5/30/16
8e9fe16b-1862-4d85-b573-1a3e56642bf7,5/6/16
8e9fe16b-1862-4d85-b573-1a3e56642bf7,5/22/16
8e9fe16b-1862-4d85-b573-1a3e56642bf7,5/12/16
8e9fe16b-1862-4d85-b573-1a3e56642bf7,5/25/16
907d12b0-e3f8-4f9a-b8de-bdeaef6035bc,5/3/16
96a95ab7-dc5e-4d0d-9b9d-649b7c2ceac9,5/26/16
97c5543f-0b14-4bc0-ad77-9028487e94da,5/3/16
97c5543f-0b14-4bc0-ad77-9028487e94da,6/9/16
97c5543f-0b14-4bc0-ad77-9028487e94da,5/15/16
97c5543f-0b14-4bc0-ad77-9028487e94da,6/8/16
97c5543f-0b14-4bc0-ad77-9028487e94da,5/30/16
97c5543f-0b14-4bc0-ad77-9028487e94da,5/10/16
97c5543f-0b14-4bc0-ad77-9028487e94da,5/17/16
97c5543f-0b14-4bc0-ad77-9028487e94da,5/16/16
97c67cb1-38a8-454b-8855-f9ea0aace53b,5/4/16
a072ead4-b317-40fc-8b78-b29dc3d9308a,6/2/16
a0d60a06-0409-497d-acf5-705e1382da98,5/25/16
a0d60a06-0409-497d-acf5-705e1382da98,5/31/16
a0d60a06-0409-497d-acf5-705e1382da98,5/29/16
a0d60a06-0409-497d-acf5-705e1382da98,6/2/16
a0d60a06-0409-497d-acf5-705e1382da98,6/3/16
a553b40d-5dca-4aa8-964d-5fe76965a8f2,5/4/16
a5e16b73-7d64-4e29-9ea2-3684ab65a699,5/6/16
a5f2c274-73de-427b-97c2-563631106db1,5/6/16
a6aa6cbb-2f70-40d2-9f61-2b05bee5d55f,5/3/16
a74188ab-61af-44f0-964f-7f34b6f45be7,5/5/16
a873b06b-d7b5-43ca-b401-36888fc146f2,5/3/16
a873b06b-d7b5-43ca-b401-36888fc146f2,5/4/16
a986b1e6-3d2e-4425-8fb9-d4378ce70d6f,5/19/16
ade041db-6f52-4fb8-9761-d219a35cf212,5/3/16
b1188729-534d-4018-bbf4-c1681d7087b5,5/12/16
b1188729-534d-4018-bbf4-c1681d7087b5,6/8/16
b1188729-534d-4018-bbf4-c1681d7087b5,6/9/16
b1188729-534d-4018-bbf4-c1681d7087b5,5/10/16
b1188729-534d-4018-bbf4-c1681d7087b5,6/3/16
b1188729-534d-4018-bbf4-c1681d7087b5,5/7/16
bf0c1f07-aff5-47f6-98b7-26559ab474a3,6/8/16
bf27ae11-c2d9-4da7-9aff-d55b869dda25,5/4/16
c1722d9c-e4e7-420f-b4bb-cbc2978fe954,5/3/16
c5a9520a-12c6-4a04-aef3-55258d855c44,5/16/16
c5a9520a-12c6-4a04-aef3-55258d855c44,6/8/16
c5a9520a-12c6-4a04-aef3-55258d855c44,5/9/16
c5a9520a-12c6-4a04-aef3-55258d855c44,5/31/16
c5a9520a-12c6-4a04-aef3-55258d855c44,5/7/16
c5a9520a-12c6-4a04-aef3-55258d855c44,5/13/16
c5a9520a-12c6-4a04-aef3-55258d855c44,5/25/16
c5a9520a-12c6-4a04-aef3-55258d855c44,5/3/16
c5a9520a-12c6-4a04-aef3-55258d855c44,5/30/16
c5a9520a-12c6-4a04-aef3-55258d855c44,5/4/16
c5a9520a-12c6-4a04-aef3-55258d855c44,6/2/16
c5a9520a-12c6-4a04-aef3-55258d855c44,6/1/16
c5a9520a-12c6-4a04-aef3-55258d855c44,5/28/16
c5a9520a-12c6-4a04-aef3-55258d855c44,5/22/16
c5a9520a-12c6-4a04-aef3-55258d855c44,5/21/16
c5a9520a-12c6-4a04-aef3-55258d855c44,5/11/16
c5a9520a-12c6-4a04-aef3-55258d855c44,5/12/16
c5a9520a-12c6-4a04-aef3-55258d855c44,5/14/16
c5a9520a-12c6-4a04-aef3-55258d855c44,5/5/16
c5a9520a-12c6-4a04-aef3-55258d855c44,6/4/16
c5a9520a-12c6-4a04-aef3-55258d855c44,5/17/16
c5a9520a-12c6-4a04-aef3-55258d855c44,5/18/16
c5a9520a-12c6-4a04-aef3-55258d855c44,6/7/16
c5a9520a-12c6-4a04-aef3-55258d855c44,6/5/16
c5a9520a-12c6-4a04-aef3-55258d855c44,5/6/16
c5a9520a-12c6-4a04-aef3-55258d855c44,5/10/16
c5a9520a-12c6-4a04-aef3-55258d855c44,5/23/16
c5a9520a-12c6-4a04-aef3-55258d855c44,5/15/16
c9e3c55a-3e72-4323-80ac-60a5144dcd34,5/7/16
